initiative_id,initiative_name,watch_score,blocking_gates,segment,strong_in,need_help_in,support_priority
139,MTP – Marketing zwischen Theorie und Praxis,1.9557,A; B; C; D,watchlist_general,,product; tech; sales,tech
145,Munich eSports,1.9557,A; B; C; D,spinout_candidate,,product; tech; sales,tech
1,WARR (Wissenschaftliche Arbeitsgruppe für Raketentechnik und Raumfahrt),1.954,A; B; C; D,spinout_candidate,,product; tech; sales,tech
222,WARR – Wissenschaftliche Arbeitsgemeinschaft für Raketentechnik und Raumfahrt,1.954,A; B; C; D,spinout_candidate,,product; tech; sales,tech
153,Nachhoelzer,1.9215,A; B; C; D,watchlist_general,,product; tech; sales,tech
174,RockYourLife! München,1.912,A; B; C; D,watchlist_general,,product; tech; sales,tech
276,MTP,1.912,A; B; C; D,watchlist_general,,product; tech; sales,tech
102,Fusian Dance Crew,1.9103,A; B; C; D,watchlist_general,,product; tech; sales,tech
111,Hochschulgruppe des Landesbunds für Vogelschutz Freising,1.9103,A; B; C; D,watchlist_emerging,,product; tech; sales,tech
106,German Chinese Student Club,1.8777,A; B; C; D,watchlist_general,,product; tech; sales,tech
73,Campus Traders,1.8665,A; B; C; D,watchlist_general,,product; tech; sales,tech
80,der tu film,1.8665,A; B; C; D,watchlist_general,,product; tech; sales,tech
107,Global Shapers Munich,1.8665,A; B; C; D,watchlist_general,,product; tech; sales,tech
115,iGEM München,1.8665,A; B; C; D,watchlist_general,,product; tech; sales,tech
124,jDPG RG München,1.8665,A; B; C; D,watchlist_general,,product; tech; sales,tech
